"date","expo_p","RTW_expo2015","TW_RTW_expo2015","TW_expo2015","wday","RTW_4expo","RTW_Pad_Ita2015","RTW_EUExpo2015","RTW_ExpoinCitta","RTW_askexpo","RTW_RaiExpo","RTW_ExpoMilano2015","RTW_cartadimilano","RTW_alberodellavita","TW_RTW_4expo","TW_RTW_Pad_Ita2015","TW_RTW_EUExpo2015","TW_RTW_ExpoinCitta","TW_RTW_askexpo","TW_RTW_RaiExpo","TW_RTW_ExpoMilano2015","TW_RTW_cartadimilano","TW_RTW_alberodellavita","expo2015_ratio","askexpo_ratio","alberodellavita_ratio","RaiExpo_ratio"
"2015-08-01",112202,2988,5803,2815,"7",71,98,30,35,32,60,172,31,10,79,120,50,46,118,79,401,38,59,1.06145648312611,4,0.204081632653061,3.15789473684211
"2015-08-02",113290,2486,5035,2549,"1",62,155,29,31,56,42,219,37,12,68,179,36,48,116,54,554,42,63,0.97528442526481,9.33333333333333,0.235294117647059,3.5
"2015-08-03",99824,3145,5894,2749,"2",118,167,66,133,36,54,169,32,14,123,198,92,181,102,73,400,38,80,1.14405238268461,7.2,0.212121212121212,2.84210526315789
"2015-08-04",104936,2363,4468,2105,"3",50,157,52,78,36,57,213,18,21,58,205,69,102,99,69,492,26,77,1.12256532066508,4.5,0.375,4.75
"2015-08-05",108301,2909,5825,2916,"4",105,87,48,48,20,76,176,28,26,113,121,75,72,107,95,457,34,97,0.997599451303155,2.5,0.366197183098592,4
"2015-08-06",93699,3249,6235,2986,"5",108,99,71,41,63,65,231,105,26,116,131,103,59,178,92,596,119,83,1.08807769591427,7.875,0.456140350877193,2.40740740740741
"2015-08-07",100391,3184,5999,2815,"6",104,106,104,50,49,54,189,48,37,111,139,149,75,177,80,567,56,101,1.13108348134991,7,0.578125,2.07692307692308
"2015-08-08",91489,2276,4970,2694,"7",78,117,46,19,101,64,121,27,16,83,144,61,27,170,74,514,30,73,0.844840386043059,20.2,0.280701754385965,6.4
"2015-08-09",86686,2220,4638,2418,"1",66,112,17,22,42,77,152,62,20,69,132,31,33,114,92,478,73,73,0.918114143920596,14,0.377358490566038,5.13333333333333
"2015-08-10",104016,2516,5672,3156,"2",114,106,30,43,48,44,235,36,10,119,135,51,66,136,61,672,41,87,0.797211660329531,9.6,0.12987012987013,2.58823529411765
"2015-08-11",114522,3102,6040,2938,"3",77,70,31,113,94,68,239,17,42,81,95,52,142,201,91,533,19,121,1.05582028590878,23.5,0.531645569620253,2.95652173913043
"2015-08-12",112329,2986,6344,3358,"4",122,102,35,57,23,71,192,49,13,128,130,62,79,126,94,493,54,86,0.889219773674806,3.83333333333333,0.178082191780822,3.08695652173913
"2015-08-13",108518,2918,6095,3177,"5",83,102,22,27,47,56,171,40,29,86,118,31,39,182,71,542,43,115,0.918476550204596,15.6666666666667,0.337209302325581,3.73333333333333
"2015-08-14",95130,2548,5535,2987,"6",87,88,28,30,39,58,199,26,33,88,103,34,38,115,82,496,30,110,0.853029795781721,39,0.428571428571429,2.41666666666667
"2015-08-15",109578,2654,5222,2568,"7",5,156,9,31,36,50,131,36,37,8,179,22,41,107,80,424,45,84,1.03348909657321,12,0.787234042553192,1.66666666666667
"2015-08-16",94899,2196,4446,2250,"1",6,91,16,25,39,57,107,57,21,8,107,30,32,152,81,360,68,71,0.976,19.5,0.42,2.375
"2015-08-17",112828,3967,7415,3448,"2",14,112,111,36,26,29,164,41,8,18,146,126,55,107,45,463,55,51,1.15052204176334,6.5,0.186046511627907,1.8125
"2015-08-18",114627,4138,7413,3275,"3",44,89,88,50,34,50,194,68,9,48,119,111,65,165,65,513,84,56,1.26351145038168,8.5,0.191489361702128,3.33333333333333
"2015-08-19",130152,4268,8077,3809,"4",80,103,102,65,81,71,153,37,13,89,135,131,82,203,91,750,45,70,1.12050406930953,9,0.228070175438596,3.55
"2015-08-20",153249,2882,6551,3669,"5",84,81,37,83,36,58,172,35,14,91,104,59,108,201,80,507,39,73,0.785500136276915,5.14285714285714,0.23728813559322,2.63636363636364
